FILENAME;\Hard Disk2\Result\yeast_20180629_140317.csv
PROTOCOL;yeast
FILE_VERSION;3.3;
DATE START;2018-06-29;14:03:04
DATE END;2018-07-02;13:52:01;;Last Reading;224;Timestamp;260210432                      
DEVICE;BL063-CX_0FFE42
USER;fabian;COMMENT;no comment available
PLATETYPE;MTP-48-Flowerplate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;3;REFERENCE_MODE;2;MULTI_PMT;1;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
C1;D08;X32;;1;0.05878;10.53;0.0;0.00;30.00;84.56;13.69;0.00;
C1;D07;X31;;1;0.06075;10.03;0.0;0.00;29.90;84.50;13.70;0.00;
C1;D06;X30;;1;0.06275;11.11;0.0;0.00;29.90;84.63;13.69;0.00;
C1;D05;X29;;1;0.06472;10.85;0.0;0.00;29.90;84.83;13.71;0.00;
C1;D04;X28;;1;0.06670;11.37;0.0;0.00;29.90;84.89;13.69;0.00;
C1;D03;X27;;1;0.06869;10.31;0.0;0.00;29.90;84.96;13.69;0.00;
C1;D02;X26;;1;0.07072;11.56;0.0;0.00;29.90;85.09;13.69;0.00;
C1;D01;X25;;1;0.07272;9.56;0.0;0.00;29.90;85.21;13.69;0.00;
C1;E01;X33;;1;0.07473;9.64;0.0;0.00;29.90;85.07;13.64;0.00;
C1;E02;X34;;1;0.07680;10.43;0.0;0.00;29.90;84.77;13.64;0.00;
C1;E03;X35;;1;0.07878;12.54;0.0;0.00;29.90;84.89;13.64;0.00;
C1;E04;X36;;1;0.08079;10.65;0.0;0.00;29.90;85.08;13.63;0.00;
C1;E05;X37;;1;0.08281;11.32;0.0;0.00;29.90;85.22;13.69;0.00;
C1;E06;X38;;1;0.08482;11.27;0.0;0.00;29.90;85.03;13.64;0.00;
C1;E07;X39;;1;0.08682;10.39;0.0;0.00;29.90;84.83;13.63;0.00;
C1;E08;X40;;1;0.08883;10.60;0.0;0.00;29.90;84.69;13.63;0.00;
C1;F08;X48;;1;0.09088;17.27;0.0;0.00;29.90;84.94;13.63;0.00;
C1;F07;X47;;1;0.09294;10.08;0.0;0.00;29.90;85.34;13.69;0.00;
C1;F06;X46;;1;0.09493;12.56;0.0;0.00;29.90;85.27;13.63;0.00;
C1;F05;X45;;1;0.09690;10.34;0.0;0.00;29.90;84.94;13.63;0.00;
C1;F04;X44;;1;0.09889;12.54;0.0;0.00;29.90;84.76;13.63;0.00;
C1;F03;X43;;1;0.10086;11.83;0.0;0.00;29.90;84.94;13.63;0.00;
C1;F02;X42;;1;0.10285;10.03;0.0;0.00;29.90;85.19;13.63;0.00;
C1;F01;X41;;1;0.10484;10.37;0.0;0.00;29.90;85.27;13.63;0.00;
R;;;;2;0.11029;93.98;0.0;29.95;29.90;84.78;13.63;0.00;test measure for referencing with gain 22 and 9
C1;A01;X1;;2;0.11566;41.73;0.0;0.00;29.90;85.21;13.70;0.00;
C1;A02;X2;;2;0.11763;55.77;0.0;0.00;29.90;85.22;13.64;0.00;
C1;A03;X3;;2;0.11960;43.25;0.0;0.00;29.90;85.16;13.62;0.00;
C1;A04;X4;;2;0.12160;53.31;0.0;0.00;29.90;84.95;13.64;0.00;
C1;A05;X5;;2;0.12360;43.46;0.0;0.00;29.90;85.03;13.69;0.00;
C1;A06;X6;;2;0.12557;39.38;0.0;0.00;29.90;85.03;13.64;0.00;
C1;A07;X7;;2;0.12759;39.78;0.0;0.00;29.90;85.04;13.69;0.00;
C1;A08;X8;;2;0.12957;41.03;0.0;0.00;29.90;84.90;13.70;0.00;
C1;B08;X16;;2;0.13157;42.16;0.0;0.00;29.90;85.02;13.69;0.00;
C1;B07;X15;;2;0.13359;41.58;0.0;0.00;29.90;84.96;13.69;0.00;
C1;B06;X14;;2;0.13563;40.50;0.0;0.00;29.90;84.87;13.65;0.00;
C1;B05;X13;;2;0.13760;43.13;0.0;0.00;29.90;84.89;13.70;0.00;
C1;B04;X12;;2;0.13960;51.07;0.0;0.00;29.90;85.04;13.64;0.00;
C1;B03;X11;;2;0.14157;42.97;0.0;0.00;29.90;85.03;13.71;0.00;
C1;B02;X10;;2;0.14357;51.40;0.0;0.00;29.90;85.03;13.71;0.00;
C1;B01;X9;;2;0.14557;42.85;0.0;0.00;29.90;85.22;13.70;0.00;
C1;C01;X17;;2;0.14758;41.93;0.0;0.00;29.90;85.27;13.70;0.00;
C1;C02;X18;;2;0.14964;61.15;0.0;0.00;29.90;85.35;13.71;0.00;
C1;C03;X19;;2;0.15164;42.56;0.0;0.00;29.90;85.40;13.69;0.00;
C1;C04;X20;;2;0.15364;54.17;0.0;0.00;29.90;85.60;13.71;0.00;
C1;C05;X21;;2;0.15564;42.44;0.0;0.00;29.90;85.67;13.71;0.00;
C1;C06;X22;;2;0.15761;41.10;0.0;0.00;29.90;85.73;13.71;0.00;
C1;C07;X23;;2;0.15962;44.98;0.0;0.00;29.90;85.87;13.72;0.00;
C1;C08;X24;;2;0.16159;41.22;0.0;0.00;29.90;86.01;13.71;0.00;
C1;D08;X32;;2;0.16360;52.58;0.0;0.00;29.90;86.00;13.71;0.00;
C1;D07;X31;;2;0.16565;44.76;0.0;0.00;29.90;86.08;13.71;0.00;
C1;D06;X30;;2;0.16767;51.92;0.0;0.00;29.90;86.26;13.71;0.00;
C1;D05;X29;;2;0.16973;49.31;0.0;0.00;29.90;86.31;13.72;0.00;
C1;D04;X28;;2;0.17174;60.31;0.0;0.00;29.90;86.25;13.70;0.00;
C1;D03;X27;;2;0.17378;48.10;0.0;0.00;29.90;86.39;13.72;0.00;
C1;D02;X26;;2;0.17587;49.65;0.0;0.00;29.90;86.58;13.71;0.00;
C1;D01;X25;;2;0.17786;45.92;0.0;0.00;29.90;86.64;13.71;0.00;
C1;E01;X33;;2;0.17985;43.77;0.0;0.00;29.90;86.58;13.71;0.00;
C1;E02;X34;;2;0.18183;53.30;0.0;0.00;29.90;86.78;13.78;0.00;
C1;E03;X35;;2;0.18385;54.67;0.0;0.00;29.90;86.97;13.71;0.00;
C1;E04;X36;;2;0.18589;47.93;0.0;0.00;29.90;87.10;13.71;0.00;
C1;E05;X37;;2;0.18789;50.28;0.0;0.00;29.90;87.23;13.71;0.00;
C1;E06;X38;;2;0.18992;51.38;0.0;0.00;29.90;87.62;13.72;0.00;
C1;E07;X39;;2;0.19189;45.96;0.0;0.00;29.90;87.75;13.71;0.00;
C1;E08;X40;;2;0.19386;52.53;0.0;0.00;29.90;88.07;13.71;0.00;
C1;F08;X48;;2;0.19586;75.06;0.0;0.00;30.00;88.34;13.72;0.00;
C1;F07;X47;;2;0.19786;45.61;0.0;0.00;30.00;88.62;13.71;0.00;
C1;F06;X46;;2;0.19984;51.43;0.0;0.00;30.00;88.80;13.71;0.00;
C1;F05;X45;;2;0.20181;47.21;0.0;0.00;30.10;89.07;13.72;0.00;
C1;F04;X44;;2;0.20378;60.23;0.0;0.00;30.10;89.11;13.70;0.00;
C1;F03;X43;;2;0.20576;56.06;0.0;0.00;30.10;89.11;13.71;0.00;
C1;F02;X42;;2;0.20774;45.27;0.0;0.00;30.10;89.05;13.72;0.00;
C1;F01;X41;;2;0.20987;61.79;0.0;0.00;30.10;89.08;13.72;0.00;
R;;;;3;0.21713;94.57;0.0;30.09;30.10;88.85;13.72;0.00;test measure for referencing with gain 22 and 9
C1;A01;X1;;3;0.22429;170.38;0.0;0.00;30.10;88.46;13.73;0.00;
C1;A02;X2;;3;0.22625;169.12;0.0;0.00;30.10;88.35;13.78;0.00;
C1;A03;X3;;3;0.22834;146.35;0.0;0.00;30.10;88.18;13.72;0.00;
C1;A04;X4;;3;0.23033;169.07;0.0;0.00;30.10;88.02;13.79;0.00;
C1;A05;X5;;3;0.23234;146.98;0.0;0.00;30.10;87.98;13.79;0.00;
C1;A06;X6;;3;0.23441;130.33;0.0;0.00;30.10;87.95;13.78;0.00;
C1;A07;X7;;3;0.23646;134.07;0.0;0.00;30.10;87.97;13.79;0.00;
C1;A08;X8;;3;0.23844;135.79;0.0;0.00;30.10;87.76;13.80;0.00;
C1;B08;X16;;3;0.24042;140.99;0.0;0.00;30.10;87.72;13.79;0.00;
C1;B07;X15;;3;0.24242;144.49;0.0;0.00;30.10;87.62;13.80;0.00;
C1;B06;X14;;3;0.24446;135.85;0.0;0.00;30.10;87.45;13.79;0.00;
C1;B05;X13;;3;0.24651;157.77;0.0;0.00;30.10;87.17;13.78;0.00;
C1;B04;X12;;3;0.24851;195.77;0.0;0.00;30.10;87.05;13.80;0.00;
C1;B03;X11;;3;0.25048;172.88;0.0;0.00;30.10;86.99;13.80;0.00;
C1;B02;X10;;3;0.25243;184.32;0.0;0.00;30.20;86.71;13.81;0.00;
C1;B01;X9;;3;0.25442;142.97;0.0;0.00;30.10;86.59;13.80;0.00;
C1;C01;X17;;3;0.25648;140.38;0.0;0.00;30.10;86.51;13.80;0.00;
C1;C02;X18;;3;0.25843;187.20;0.0;0.00;30.10;86.26;13.80;0.00;
C1;C03;X19;;3;0.26044;140.97;0.0;0.00;30.10;86.06;13.79;0.00;
C1;C04;X20;;3;0.26245;182.38;0.0;0.00;30.10;85.93;13.82;0.00;
C1;C05;X21;;3;0.26444;151.12;0.0;0.00;30.10;85.74;13.88;0.00;
C1;C06;X22;;3;0.26642;137.41;0.0;0.00;30.10;85.48;13.82;0.00;
C1;C07;X23;;3;0.26842;158.90;0.0;0.00;30.10;85.28;13.85;0.00;
C1;C08;X24;;3;0.27043;138.30;0.0;0.00;30.10;85.22;13.87;0.00;
C1;D08;X32;;3;0.27245;170.08;0.0;0.00;30.10;85.09;13.82;0.00;
C1;D07;X31;;3;0.27447;149.31;0.0;0.00;30.10;84.91;13.89;0.00;
C1;D06;X30;;3;0.27646;155.93;0.0;0.00;30.10;84.83;13.89;0.00;
C1;D05;X29;;3;0.27846;159.94;0.0;0.00;30.10;84.71;13.88;0.00;
C1;D04;X28;;3;0.28046;193.45;0.0;0.00;30.10;84.57;13.89;0.00;
C1;D03;X27;;3;0.28247;159.65;0.0;0.00;30.10;84.79;13.88;0.00;
C1;D02;X26;;3;0.28442;184.69;0.0;0.00;30.10;85.03;13.88;0.00;
C1;D01;X25;;3;0.28643;150.76;0.0;0.00;30.10;85.07;13.89;0.00;
C1;E01;X33;;3;0.28843;145.82;0.0;0.00;30.10;84.95;13.88;0.00;
C1;E02;X34;;3;0.29044;155.95;0.0;0.00;30.10;85.08;13.88;0.00;
C1;E03;X35;;3;0.29247;178.10;0.0;0.00;30.10;85.15;13.89;0.00;
C1;E04;X36;;3;0.29447;170.40;0.0;0.00;30.10;85.11;13.88;0.00;
C1;E05;X37;;3;0.29644;171.60;0.0;0.00;30.10;85.08;13.89;0.00;
C1;E06;X38;;3;0.29843;166.52;0.0;0.00;30.10;85.22;13.88;0.00;
C1;E07;X39;;3;0.30042;153.34;0.0;0.00;30.10;84.90;13.81;0.00;
C1;E08;X40;;3;0.30241;186.67;0.0;0.00;30.00;84.50;13.82;0.00;
C1;F08;X48;;3;0.30441;242.34;0.0;0.00;30.00;84.63;13.82;0.00;
C1;F07;X47;;3;0.30643;151.34;0.0;0.00;30.10;84.96;13.81;0.00;
C1;F06;X46;;3;0.30839;171.30;0.0;0.00;30.00;85.02;13.81;0.00;
C1;F05;X45;;3;0.31035;150.34;0.0;0.00;30.00;84.96;13.81;0.00;
C1;F04;X44;;3;0.31235;189.81;0.0;0.00;30.00;85.21;13.79;0.00;
C1;F03;X43;;3;0.31434;165.49;0.0;0.00;30.00;85.29;13.79;0.00;
C1;F02;X42;;3;0.31634;174.56;0.0;0.00;30.00;84.95;13.80;0.00;
C1;F01;X41;;3;0.31834;148.38;0.0;0.00;30.00;84.57;13.80;0.00;
R;;;;1;0.32735;93.56;0.0;29.85;30.00;85.15;13.79;0.00;test measure for referencing with gain 22 and 9
C2;A01;X1;;1;0.33050;10.60;0.0;0.00;29.90;84.82;13.79;0.00;
C2;A02;X2;;1;0.33247;11.88;0.0;0.00;29.90;84.71;13.79;0.00;
C2;A03;X3;;1;0.33446;9.99;0.0;0.00;29.90;84.82;13.79;0.00;
C2;A04;X4;;1;0.33644;10.82;0.0;0.00;29.90;85.09;13.80;0.00;
C2;A05;X5;;1;0.33850;10.81;0.0;0.00;29.90;85.22;13.79;0.00;
C2;A06;X6;;1;0.34053;9.03;0.0;0.00;29.90;85.22;13.79;0.00;
C2;A07;X7;;1;0.34256;9.86;0.0;0.00;29.90;85.02;13.78;0.00;
C2;A08;X8;;1;0.34457;9.56;0.0;0.00;29.90;84.98;13.80;0.00;
C2;B08;X16;;1;0.34666;9.75;0.0;0.00;29.90;84.77;13.79;0.00;
C2;B07;X15;;1;0.34863;10.26;0.0;0.00;29.90;84.84;13.79;0.00;
C2;B06;X14;;1;0.35063;9.42;0.0;0.00;29.90;84.89;13.73;0.00;
C2;B05;X13;;1;0.35261;11.10;0.0;0.00;29.90;85.09;13.78;0.00;
C2;B04;X12;;1;0.35462;12.72;0.0;0.00;29.90;85.36;13.79;0.00;
C2;B03;X11;;1;0.35665;12.31;0.0;0.00;29.90;85.44;13.72;0.00;
C2;B02;X10;;1;0.35871;13.19;0.0;0.00;29.90;85.28;13.79;0.00;
C2;B01;X9;;1;0.36074;9.91;0.0;0.00;29.90;85.22;13.73;0.00;
C2;C01;X17;;1;0.36285;9.77;0.0;0.00;29.90;85.21;13.72;0.00;
C2;C02;X18;;1;0.36483;11.28;0.0;0.00;29.90;85.29;13.72;0.00;
C2;C03;X19;;1;0.36681;9.80;0.0;0.00;29.90;85.29;13.78;0.00;
C2;C04;X20;;1;0.36880;12.07;0.0;0.00;29.90;85.17;13.78;0.00;
C2;C05;X21;;1;0.37080;11.26;0.0;0.00;29.90;85.36;13.78;0.00;
C2;C06;X22;;1;0.37279;9.61;0.0;0.00;29.90;85.55;13.78;0.00;
C2;C07;X23;;1;0.37478;11.74;0.0;0.00;29.90;85.55;13.79;0.00;
C2;C08;X24;;1;0.37679;9.55;0.0;0.00;29.90;85.58;13.78;0.00;
C2;D08;X32;;1;0.37884;11.81;0.0;0.00;29.90;85.67;13.79;0.00;
C2;D07;X31;;1;0.38088;10.07;0.0;0.00;29.90;85.76;13.78;0.00;
C2;D06;X30;;1;0.38287;11.77;0.0;0.00;29.90;85.62;13.79;0.00;
C2;D05;X29;;1;0.38485;12.14;0.0;0.00;29.90;85.79;13.79;0.00;
C2;D04;X28;;1;0.38696;10.97;0.0;0.00;29.90;85.88;13.79;0.00;
C2;D03;X27;;1;0.38893;11.33;0.0;0.00;29.90;85.87;13.79;0.00;
C2;D02;X26;;1;0.39091;14.70;0.0;0.00;29.90;85.67;13.78;0.00;
C2;D01;X25;;1;0.39292;10.85;0.0;0.00;29.90;85.86;13.78;0.00;
C2;E01;X33;;1;0.39499;10.23;0.0;0.00;29.90;85.86;13.80;0.00;
C2;E02;X34;;1;0.39700;11.62;0.0;0.00;29.90;85.82;13.79;0.00;
C2;E03;X35;;1;0.39908;11.86;0.0;0.00;29.90;85.68;13.80;0.00;
C2;E04;X36;;1;0.40106;11.78;0.0;0.00;29.90;85.69;13.80;0.00;
C2;E05;X37;;1;0.40309;12.08;0.0;0.00;29.90;85.61;13.80;0.00;
C2;E06;X38;;1;0.40515;11.57;0.0;0.00;29.90;85.55;13.80;0.00;
C2;E07;X39;;1;0.40717;10.46;0.0;0.00;29.90;85.63;13.80;0.00;
C2;E08;X40;;1;0.40913;12.91;0.0;0.00;30.00;85.75;13.80;0.00;
C2;F08;X48;;1;0.41114;16.68;0.0;0.00;30.00;85.80;13.79;0.00;
C2;F07;X47;;1;0.41323;11.15;0.0;0.00;30.00;85.93;13.80;0.00;
C2;F06;X46;;1;0.41519;11.45;0.0;0.00;30.00;86.13;13.80;0.00;
C2;F05;X45;;1;0.41718;10.68;0.0;0.00;30.00;86.26;13.80;0.00;
C2;F04;X44;;1;0.41916;14.62;0.0;0.00;30.10;86.20;13.80;0.00;
C2;F03;X43;;1;0.42115;11.47;0.0;0.00;30.00;86.44;13.80;0.00;
C2;F02;X42;;1;0.42312;12.51;0.0;0.00;30.00;86.46;13.80;0.00;
C2;F01;X41;;1;0.42509;11.91;0.0;0.00;30.10;86.45;13.80;0.00;
R;;;;2;0.43053;96.57;0.0;31.18;30.10;86.46;13.81;0.00;test measure for referencing with gain 22 and 9
C2;A01;X1;;2;0.43585;43.63;0.0;0.00;30.10;86.13;13.81;0.00;
C2;A02;X2;;2;0.43790;44.70;0.0;0.00;30.10;86.01;13.81;0.00;
C2;A03;X3;;2;0.43993;45.36;0.0;0.00;30.10;86.00;13.87;0.00;
C2;A04;X4;;2;0.44190;54.06;0.0;0.00;30.10;85.76;13.81;0.00;
C2;A05;X5;;2;0.44400;47.50;0.0;0.00;30.10;85.63;13.82;0.00;
C2;A06;X6;;2;0.44599;39.38;0.0;0.00;30.10;85.55;13.82;0.00;
C2;A07;X7;;2;0.44801;46.74;0.0;0.00;30.10;85.61;13.82;0.00;
C2;A08;X8;;2;0.45005;41.27;0.0;0.00;30.10;85.42;13.87;0.00;
C2;B08;X16;;2;0.45221;42.22;0.0;0.00;30.00;85.34;13.87;0.00;
C2;B07;X15;;2;0.45429;45.57;0.0;0.00;30.10;85.31;13.87;0.00;
C2;B06;X14;;2;0.45638;40.93;0.0;0.00;30.00;85.17;13.89;0.00;
C2;B05;X13;;2;0.45837;49.61;0.0;0.00;30.00;85.10;13.88;0.00;
C2;B04;X12;;2;0.46039;55.04;0.0;0.00;30.00;84.83;13.87;0.00;
C2;B03;X11;;2;0.46235;52.63;0.0;0.00;30.00;84.85;13.87;0.00;
C2;B02;X10;;2;0.46431;63.11;0.0;0.00;30.00;84.92;13.88;0.00;
C2;B01;X9;;2;0.46632;42.95;0.0;0.00;30.00;84.97;13.88;0.00;
C2;C01;X17;;2;0.46836;42.20;0.0;0.00;30.00;85.29;13.90;0.00;
C2;C02;X18;;2;0.47041;49.30;0.0;0.00;30.00;85.35;13.89;0.00;
C2;C03;X19;;2;0.47241;42.44;0.0;0.00;30.00;85.23;13.88;0.00;
C2;C04;X20;;2;0.47439;48.97;0.0;0.00;30.00;85.02;13.87;0.00;
C2;C05;X21;;2;0.47638;47.58;0.0;0.00;30.00;85.06;13.89;0.00;
C2;C06;X22;;2;0.47835;41.37;0.0;0.00;30.00;85.02;13.87;0.00;
C2;C07;X23;;2;0.48033;52.13;0.0;0.00;29.90;84.90;13.89;0.00;
C2;C08;X24;;2;0.48231;41.45;0.0;0.00;29.90;84.82;13.82;0.00;
C2;D08;X32;;2;0.48435;51.07;0.0;0.00;29.90;85.02;13.90;0.00;
C2;D07;X31;;2;0.48640;44.50;0.0;0.00;30.00;85.04;13.89;0.00;
C2;D06;X30;;2;0.48843;52.74;0.0;0.00;29.90;84.96;13.89;0.00;
C2;D05;X29;;2;0.49041;52.78;0.0;0.00;29.90;84.96;13.89;0.00;
C2;D04;X28;;2;0.49253;50.59;0.0;0.00;29.90;85.11;13.88;0.00;
C2;D03;X27;;2;0.49453;48.79;0.0;0.00;29.90;85.04;13.90;0.00;
C2;D02;X26;;2;0.49652;57.65;0.0;0.00;29.90;84.94;13.89;0.00;
C2;D01;X25;;2;0.49855;46.99;0.0;0.00;29.90;84.97;13.89;0.00;
C2;E01;X33;;2;0.50061;44.88;0.0;0.00;30.00;84.96;13.89;0.00;
C2;E02;X34;;2;0.50262;53.90;0.0;0.00;29.90;84.90;13.91;0.00;
C2;E03;X35;;2;0.50462;51.12;0.0;0.00;29.90;84.85;13.88;0.00;
C2;E04;X36;;2;0.50661;56.52;0.0;0.00;29.90;84.95;13.89;0.00;
C2;E05;X37;;2;0.50857;53.88;0.0;0.00;29.90;84.95;13.89;0.00;
C2;E06;X38;;2;0.51058;50.59;0.0;0.00;29.90;85.02;13.89;0.00;
C2;E07;X39;;2;0.51256;45.25;0.0;0.00;29.90;85.21;13.91;0.00;
C2;E08;X40;;2;0.51458;55.58;0.0;0.00;29.90;85.21;13.90;0.00;
C2;F08;X48;;2;0.51665;73.97;0.0;0.00;29.90;85.15;13.89;0.00;
C2;F07;X47;;2;0.51863;48.95;0.0;0.00;29.90;85.15;13.91;0.00;
C2;F06;X46;;2;0.52063;48.32;0.0;0.00;29.90;85.21;13.91;0.00;
C2;F05;X45;;2;0.52262;48.61;0.0;0.00;29.90;85.28;13.97;0.00;
C2;F04;X44;;2;0.52460;64.33;0.0;0.00;29.90;85.22;13.92;0.00;
C2;F03;X43;;2;0.52658;49.37;0.0;0.00;29.90;85.29;13.91;0.00;
C2;F02;X42;;2;0.52855;54.10;0.0;0.00;29.90;85.47;13.92;0.00;
C2;F01;X41;;2;0.53053;45.17;0.0;0.00;29.90;85.42;13.92;0.00;
R;;;;3;0.53776;94.87;0.0;30.15;29.90;85.47;13.92;0.00;test measure for referencing with gain 22 and 9
C2;A01;X1;;3;0.54503;145.87;0.0;0.00;29.90;85.67;13.98;0.00;
C2;A02;X2;;3;0.54709;154.71;0.0;0.00;29.90;85.62;13.98;0.00;
C2;A03;X3;;3;0.54918;147.49;0.0;0.00;29.90;85.62;13.98;0.00;
C2;A04;X4;;3;0.55121;188.03;0.0;0.00;29.90;85.87;13.98;0.00;
C2;A05;X5;;3;0.55318;149.97;0.0;0.00;29.90;85.88;13.99;0.00;
C2;A06;X6;;3;0.55516;131.31;0.0;0.00;29.90;85.82;13.99;0.00;
C2;A07;X7;;3;0.55715;144.30;0.0;0.00;29.90;85.87;13.98;0.00;
C2;A08;X8;;3;0.55913;137.15;0.0;0.00;29.90;86.08;13.99;0.00;
C2;B08;X16;;3;0.56114;138.22;0.0;0.00;29.90;86.19;13.98;0.00;
C2;B07;X15;;3;0.56311;153.64;0.0;0.00;29.90;86.19;13.97;0.00;
C2;B06;X14;;3;0.56511;135.79;0.0;0.00;29.90;86.25;13.97;0.00;
C2;B05;X13;;3;0.56707;176.14;0.0;0.00;29.90;86.38;13.97;0.00;
C2;B04;X12;;3;0.56912;184.81;0.0;0.00;29.90;86.44;13.97;0.00;
C2;B03;X11;;3;0.57116;159.15;0.0;0.00;29.90;86.52;13.98;0.00;
C2;B02;X10;;3;0.57313;156.77;0.0;0.00;29.90;86.59;13.98;0.00;
C2;B01;X9;;3;0.57512;143.74;0.0;0.00;29.90;86.51;13.98;0.00;
C2;C01;X17;;3;0.57713;140.03;0.0;0.00;29.90;86.56;13.97;0.00;
C2;C02;X18;;3;0.57913;166.72;0.0;0.00;29.90;86.59;13.99;0.00;
C2;C03;X19;;3;0.58114;140.95;0.0;0.00;29.90;86.65;13.99;0.00;
C2;C04;X20;;3;0.58315;171.52;0.0;0.00;30.00;86.59;13.99;0.00;
C2;C05;X21;;3;0.58514;160.12;0.0;0.00;29.90;86.60;13.98;0.00;
C2;C06;X22;;3;0.58712;137.23;0.0;0.00;29.90;86.58;13.99;0.00;
C2;C07;X23;;3;0.58911;165.98;0.0;0.00;30.00;86.58;14.00;0.00;
C2;C08;X24;;3;0.59108;135.97;0.0;0.00;29.90;86.51;14.00;0.00;
C2;D08;X32;;3;0.59308;165.67;0.0;0.00;30.00;86.57;14.00;0.00;
C2;D07;X31;;3;0.59506;144.73;0.0;0.00;30.00;86.67;14.01;0.00;
C2;D06;X30;;3;0.59704;178.15;0.0;0.00;29.90;86.59;14.01;0.00;
C2;D05;X29;;3;0.59901;182.04;0.0;0.00;29.90;86.55;14.00;0.00;
C2;D04;X28;;3;0.60100;188.73;0.0;0.00;29.90;86.39;14.01;0.00;
C2;D03;X27;;3;0.60305;168.12;0.0;0.00;29.90;86.43;14.01;0.00;
C2;D02;X26;;3;0.60502;190.40;0.0;0.00;30.00;86.34;14.00;0.00;
C2;D01;X25;;3;0.60701;158.01;0.0;0.00;29.90;86.40;14.00;0.00;
